epoch,box_loss,cls_loss,l1_loss,dfl_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image,epoch_seconds,train_seconds,val_seconds,elapsed_hours
55,1.44264,1.82532,1.19081,0,4.3934,4.59367,0.673579,0.00461684,0.50982,0.86517,0.739671,0.380657,0.416559,1.05932,146.428,129.468,16.9608,1.55347
56,1.44508,1.8383,1.19194,0,4.40275,4.6235,0.671237,0.00460319,0.50942,0.862107,0.738989,0.380416,0.416273,1.11432,145.429,128.192,17.2368,1.59414
57,1.44769,1.82076,1.18022,0,4.38454,4.57825,0.668896,0.00458932,0.510804,0.868069,0.742075,0.383752,0.419584,1.06995,142.877,126.045,16.8316,1.63407
58,1.43747,1.81675,1.17322,0,4.36212,4.55801,0.666555,0.00457523,0.506247,0.871994,0.739657,0.38273,0.418423,1.15552,141.197,123.773,17.4239,1.67364
59,1.43522,1.80883,1.17424,0,4.35105,4.55128,0.664214,0.00456093,0.506607,0.874547,0.741863,0.384403,0.420149,1.07298,141.873,123.58,18.2932,1.71331
60,1.43232,1.80959,1.17191,0,4.34023,4.55788,0.661873,0.00454642,0.509902,0.874095,0.740981,0.384133,0.419818,1.06183,149.761,132.547,17.214,1.75526
61,1.42719,1.81038,1.18338,0,4.35273,4.55313,0.659532,0.00453169,0.509506,0.874633,0.741449,0.384367,0.420075,1.02112,151.731,134.901,16.8308,1.79769
62,1.42697,1.79831,1.17477,0,4.33353,4.52757,0.657191,0.00451676,0.50928,0.877863,0.745439,0.385934,0.421884,1.04948,149.489,131.729,17.7602,1.83953
63,1.42579,1.79751,1.16892,0,4.32829,4.51351,0.654849,0.00450162,0.509949,0.879678,0.745356,0.38576,0.42172,1.03746,150.446,133.33,17.116,1.88169
64,1.43906,1.79548,1.16459,0,4.32887,4.53104,0.652508,0.00448627,0.515813,0.88272,0.745792,0.387464,0.423297,1.06296,147.728,130.776,16.9521,1.92301
65,1.44045,1.78984,1.17515,0,4.33219,4.54157,0.650167,0.00447072,0.512923,0.885105,0.744646,0.387028,0.42279,1.06678,142.19,126.275,15.9149,1.96287
66,1.42936,1.79672,1.17032,0,4.32539,4.52701,0.647826,0.00445497,0.513241,0.886033,0.746833,0.38814,0.424009,1.03285,138.736,123.254,15.4814,2.00164
67,1.42566,1.79719,1.1711,0,4.31996,4.52865,0.645485,0.00443902,0.513457,0.887484,0.743464,0.386658,0.422339,1.07704,134.968,119.169,15.7987,2.03948
68,1.43234,1.79244,1.1582,0,4.31401,4.50729,0.643144,0.00442286,0.514122,0.886656,0.750749,0.389551,0.425671,1.05429,136.747,121.272,15.4752,2.07771
69,1.4302,1.7968,1.17514,0,4.33165,4.5279,0.640803,0.00440651,0.507879,0.888468,0.748587,0.387893,0.423962,1.06654,135.864,120.526,15.3383,2.11579
70,1.42956,1.78719,1.17225,0,4.31501,4.51965,0.638462,0.00438997,0.509492,0.887988,0.747019,0.387554,0.423501,1.05309,135.749,120.607,15.1424,2.15375
71,1.42504,1.77969,1.14341,0,4.2739,4.47793,0.63612,0.00437323,0.511541,0.888364,0.746065,0.388518,0.424273,1.10681,134.388,118.752,15.6355,2.1913
72,1.42801,1.78969,1.16359,0,4.30748,4.509,0.633779,0.0043563,0.507091,0.893525,0.74435,0.388144,0.423765,1.07361,135.151,119.667,15.4842,2.22912
73,1.4238,1.77108,1.1455,0,4.26951,4.46183,0.631438,0.00433918,0.508532,0.893882,0.744763,0.387779,0.423477,1.07201,135.061,119.713,15.348,2.26691
74,1.41758,1.77038,1.15484,0,4.2702,4.46594,0.629097,0.00432187,0.506307,0.894095,0.745433,0.387497,0.423291,1.06287,135.938,120.471,15.4674,2.30491
75,1.41703,1.77022,1.15066,0,4.26392,4.46216,0.626756,0.00430438,0.505551,0.89516,0.745391,0.388092,0.423822,1.05205,134.795,119.142,15.6524,2.34259
76,1.41222,1.7439,1.15441,0,4.2355,4.43526,0.624415,0.0042867,0.506339,0.894781,0.745754,0.387796,0.423592,1.07441,136.333,120.826,15.5069,2.3807
77,1.41913,1.76425,1.15818,0,4.26607,4.46581,0.622074,0.00426884,0.508074,0.894681,0.744386,0.387514,0.423202,1.05876,135.695,119.979,15.716,2.41867
78,1.41205,1.76726,1.14146,0,4.24971,4.43659,0.619732,0.0042508,0.509697,0.89758,0.746363,0.388792,0.424549,1.07744,134.526,119.28,15.246,2.45628
79,1.40977,1.7628,1.15434,0,4.2541,4.44437,0.617391,0.00423258,0.511215,0.896878,0.747709,0.390348,0.426084,1.07443,135.527,119.82,15.7069,2.49422
80,1.42012,1.76607,1.14694,0,4.26121,4.44804,0.61505,0.00421419,0.514131,0.898282,0.750454,0.391521,0.427414,1.04534,134.426,119.057,15.3691,2.53186
81,1.40947,1.74354,1.1543,0,4.23131,4.42754,0.612709,0.00419562,0.511849,0.899983,0.751583,0.39268,0.42857,1.05061,136.617,120.984,15.6329,2.57014
82,1.40508,1.73546,1.13064,0,4.20055,4.38184,0.610368,0.00417687,0.512364,0.899233,0.754432,0.394809,0.430771,1.02942,134.272,118.893,15.3792,2.60773
83,1.4162,1.76109,1.15257,0,4.25512,4.4458,0.608027,0.00415796,0.509092,0.899983,0.750125,0.391821,0.427652,1.0825,135.333,119.812,15.5211,2.64565
84,1.40938,1.74747,1.14232,0,4.22517,4.41282,0.605686,0.00413888,0.507474,0.901769,0.747604,0.390613,0.426312,1.0716,135.47,119.55,15.9201,2.68352
85,1.40758,1.75367,1.13855,0,4.21532,4.42831,0.603344,0.00411964,0.508814,0.902953,0.750042,0.39274,0.428471,1.13724,136.451,121.558,14.8937,2.7217
86,1.4039,1.73724,1.14162,0,4.21184,4.38958,0.601003,0.00410023,0.50808,0.904201,0.748588,0.392545,0.42815,1.08536,136.747,121.343,15.4043,2.75996
