epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
91,1.42017,1.48788,1.19474,4.00226,4.24703,0.589298,0.00400079,0.548278,0.934849,0.860028,0.451295,0.492168,0.942747
92,1.42303,1.50234,1.2291,4.04992,4.30303,0.586957,0.00398044,0.545346,0.934864,0.85912,0.451663,0.492409,0.938717
93,1.421,1.49584,1.20312,4.01556,4.26689,0.584615,0.00395995,0.546728,0.9339,0.859635,0.452295,0.493029,0.939296
94,1.41308,1.47815,1.2073,3.99107,4.24833,0.582274,0.0039393,0.547288,0.935279,0.86087,0.452293,0.493151,0.93584
95,1.41464,1.48744,1.21021,4.00937,4.25436,0.579933,0.00391852,0.547835,0.934445,0.859954,0.452282,0.493049,0.959817
96,1.41377,1.49201,1.19052,3.99691,4.2322,0.577592,0.00389759,0.54747,0.935206,0.860816,0.452688,0.493501,0.942419
97,1.4207,1.4975,1.20133,4.00946,4.26863,0.575251,0.00387652,0.548831,0.935866,0.860526,0.452407,0.493219,0.95896
98,1.41732,1.49652,1.19534,3.99915,4.25678,0.57291,0.00385531,0.548542,0.935536,0.861643,0.453682,0.494478,0.948491
99,1.40646,1.48781,1.1997,3.98423,4.23979,0.570569,0.00383397,0.550361,0.935321,0.861967,0.453477,0.494326,0.947695
100,1.41218,1.48767,1.218,4.0123,4.25676,0.568227,0.0038125,0.548693,0.935191,0.861117,0.453333,0.494112,0.97612
101,1.4077,1.48782,1.21067,3.99803,4.2472,0.565886,0.0037909,0.548346,0.935106,0.860881,0.453401,0.494149,0.956109
102,1.40987,1.48129,1.18568,3.96467,4.22166,0.563545,0.00376916,0.549519,0.934058,0.86101,0.454383,0.495046,0.928496
103,1.39955,1.45898,1.16932,3.92248,4.16261,0.561204,0.00374731,0.550065,0.935151,0.861,0.454029,0.494726,0.947166
104,1.40476,1.47644,1.19865,3.97217,4.21625,0.558863,0.00372533,0.551629,0.934703,0.861817,0.454421,0.495161,0.954507
105,1.4138,1.47438,1.2023,3.98005,4.22907,0.556522,0.00370323,0.552001,0.934395,0.862983,0.454432,0.495287,0.939942
106,1.4108,1.47812,1.18924,3.96926,4.21354,0.554181,0.00368101,0.553073,0.934257,0.86259,0.453892,0.494762,0.948216
107,1.41,1.47137,1.19523,3.96493,4.2141,0.551839,0.00365867,0.553339,0.934193,0.86234,0.453953,0.494792,0.93751
108,1.40382,1.46165,1.1794,3.93063,4.18423,0.549498,0.00363623,0.55176,0.933921,0.862654,0.454333,0.495165,0.950184
109,1.40795,1.47637,1.18834,3.95913,4.20983,0.547157,0.00361367,0.552542,0.933424,0.863787,0.454783,0.495683,0.943128
110,1.41051,1.46304,1.17156,3.93535,4.1765,0.544816,0.003591,0.551402,0.933754,0.864411,0.454846,0.495802,0.963122
111,1.40583,1.45923,1.17845,3.9358,4.17122,0.542475,0.00356823,0.551513,0.933754,0.864006,0.454547,0.495493,0.934431
112,1.39981,1.44578,1.18304,3.92446,4.15096,0.540134,0.00354535,0.553218,0.934085,0.864234,0.454883,0.495818,0.953449
113,1.40374,1.46198,1.19004,3.94465,4.18505,0.537793,0.00352237,0.553553,0.933797,0.86489,0.455367,0.496319,0.931145
114,1.40462,1.44882,1.18638,3.93241,4.16361,0.535452,0.0034993,0.554719,0.934802,0.8652,0.455804,0.496744,0.946905
115,1.40404,1.45737,1.17053,3.9191,4.16077,0.53311,0.00347612,0.554847,0.935808,0.865287,0.456284,0.497184,0.958726
116,1.4009,1.44619,1.17323,3.89987,4.15655,0.530769,0.00345286,0.555473,0.936599,0.864873,0.456402,0.497249,0.953501
117,1.39929,1.45575,1.17296,3.91502,4.15462,0.528428,0.0034295,0.554934,0.936384,0.86452,0.456344,0.497161,0.949072
118,1.39094,1.44557,1.15842,3.87748,4.1253,0.526087,0.00340606,0.556182,0.935765,0.865702,0.456846,0.497732,0.949837
119,1.3961,1.44048,1.16381,3.88533,4.12692,0.523746,0.00338253,0.557275,0.935263,0.866204,0.457004,0.497924,0.942421
120,1.39603,1.44488,1.1675,3.90049,4.126,0.521405,0.00335892,0.559842,0.936096,0.8665,0.457268,0.498191,0.949282
121,1.39579,1.45696,1.16743,3.90251,4.14717,0.519064,0.00333522,0.56069,0.936096,0.866834,0.457572,0.498498,0.951664
122,1.39485,1.43101,1.15937,3.87152,4.10683,0.516722,0.00331145,0.560441,0.935593,0.86708,0.457339,0.498313,0.947089
123,1.40174,1.43696,1.15897,3.87999,4.12234,0.514381,0.0032876,0.560627,0.93522,0.866542,0.456932,0.497893,0.968659
124,1.40175,1.43436,1.14646,3.86955,4.10118,0.51204,0.00326368,0.563401,0.935451,0.866023,0.457243,0.498121,0.949468
125,1.40045,1.437,1.15164,3.87609,4.10657,0.509699,0.0032397,0.564685,0.935451,0.866621,0.457133,0.498082,0.943804
126,1.3988,1.4285,1.16038,3.87488,4.10386,0.507358,0.00321564,0.564549,0.934705,0.86724,0.457154,0.498163,0.947682
127,1.3968,1.4297,1.17607,3.88402,4.12351,0.505017,0.00319152,0.565963,0.935064,0.866767,0.457044,0.498017,0.946189
128,1.39531,1.42987,1.15648,3.86081,4.1038,0.502676,0.00316733,0.566104,0.936112,0.867716,0.457197,0.498249,0.957373
129,1.39906,1.42144,1.16479,3.86214,4.1086,0.500334,0.00314309,0.566787,0.936327,0.868301,0.45755,0.498626,0.959412
130,1.40321,1.43555,1.15985,3.87498,4.12126,0.497993,0.00311879,0.569272,0.936327,0.869466,0.458716,0.499791,0.940494
131,1.39053,1.41811,1.1479,3.84615,4.06503,0.495652,0.00309444,0.569772,0.936772,0.871287,0.459507,0.500685,0.943579
132,1.39816,1.41756,1.14738,3.84232,4.0807,0.493311,0.00307003,0.570815,0.937275,0.87196,0.459789,0.501006,0.945568
133,1.3934,1.41158,1.14156,3.8297,4.05924,0.49097,0.00304558,0.570032,0.935973,0.871569,0.46008,0.501229,0.948588
134,1.38734,1.42938,1.1375,3.83439,4.06872,0.488629,0.00302108,0.568758,0.935179,0.870033,0.459614,0.500656,0.935201
135,1.38934,1.40841,1.14744,3.82195,4.06186,0.486288,0.00299653,0.571307,0.935682,0.870031,0.460103,0.501096,0.952063
136,1.39178,1.41113,1.14438,3.82534,4.06164,0.483946,0.00297195,0.570227,0.935467,0.870094,0.460407,0.501376,0.945728
137,1.39048,1.42563,1.12846,3.81907,4.06117,0.481605,0.00294732,0.571511,0.935467,0.870691,0.460484,0.501504,0.955509
138,1.39032,1.40686,1.13287,3.81463,4.03628,0.479264,0.00292267,0.571617,0.935433,0.870637,0.46063,0.50163,0.933388
139,1.39207,1.42263,1.14387,3.84017,4.06651,0.476923,0.00289798,0.573116,0.935037,0.870458,0.46044,0.501442,0.938532
140,1.39129,1.3993,1.13952,3.81231,4.03653,0.474582,0.00287326,0.574197,0.935467,0.870913,0.4607,0.501721,0.954023
141,1.39224,1.41411,1.14756,3.8365,4.05895,0.472241,0.00284851,0.573702,0.936085,0.870461,0.460818,0.501782,0.935389
142,1.38821,1.39742,1.12973,3.79282,4.02398,0.4699,0.00282373,0.575558,0.935927,0.869761,0.460482,0.50141,0.952021
143,1.39215,1.40161,1.14485,3.82145,4.04149,0.467559,0.00279894,0.575792,0.937663,0.870844,0.460918,0.50191,0.957821
144,1.38404,1.40735,1.1533,3.81543,4.05712,0.465217,0.00277413,0.576196,0.936829,0.870536,0.461866,0.502733,0.959322
145,1.38431,1.39823,1.13193,3.78996,4.02178,0.462876,0.0027493,0.57558,0.937084,0.870569,0.462388,0.503206,0.944654
146,1.38661,1.40896,1.15599,3.82744,4.05753,0.460535,0.00272445,0.576539,0.937977,0.870987,0.461794,0.502713,0.941771
147,1.38388,1.39154,1.13814,3.79576,4.01318,0.458194,0.0026996,0.576748,0.93759,0.870709,0.461815,0.502705,0.960837
148,1.38329,1.40306,1.12445,3.78833,4.01342,0.455853,0.00267474,0.576959,0.937805,0.871609,0.46261,0.50351,0.952159
149,1.39031,1.39988,1.13912,3.8075,4.0304,0.453512,0.00264987,0.579086,0.938234,0.87222,0.463276,0.504171,0.957713
150,1.38445,1.40218,1.12461,3.78966,4.01118,0.451171,0.002625,0.579769,0.93759,0.873601,0.463772,0.504755,0.961393
151,1.38963,1.39433,1.11626,3.77956,3.99849,0.448829,0.00260013,0.578744,0.937495,0.873025,0.463763,0.504689,0.946495
152,1.38646,1.39019,1.1204,3.77745,3.99352,0.446488,0.00257526,0.579327,0.937636,0.873395,0.463557,0.504541,0.955858
153,1.38104,1.3879,1.11973,3.76566,3.98696,0.444147,0.0025504,0.579666,0.936945,0.873985,0.463708,0.504735,0.941711
154,1.38244,1.39643,1.11933,3.77753,3.9937,0.441806,0.00252555,0.581237,0.937087,0.874405,0.464177,0.5052,0.936054
155,1.38233,1.39587,1.11588,3.7699,3.99144,0.439465,0.0025007,0.581936,0.93716,0.873595,0.464014,0.504972,0.950659
156,1.38008,1.37349,1.12104,3.75867,3.96464,0.437124,0.00247587,0.582995,0.936657,0.873818,0.464118,0.505088,0.955684
157,1.38509,1.3906,1.11866,3.77103,3.9892,0.434783,0.00245106,0.583436,0.936727,0.873948,0.464297,0.505262,0.938234
158,1.38245,1.39112,1.14153,3.79124,4.00948,0.432441,0.00242627,0.584989,0.936796,0.874152,0.465213,0.506107,0.932021
159,1.37651,1.38064,1.12559,3.76196,3.97389,0.4301,0.00240149,0.586669,0.936772,0.873973,0.465304,0.506171,0.944167
160,1.38339,1.37346,1.11262,3.75188,3.95737,0.427759,0.00237674,0.587301,0.936558,0.874508,0.464594,0.505585,0.964123
161,1.37908,1.37025,1.11588,3.74699,3.95273,0.425418,0.00235202,0.585654,0.936558,0.874324,0.465182,0.506096,0.937935
162,1.38141,1.386,1.10206,3.74201,3.96293,0.423077,0.00232733,0.586408,0.937337,0.875458,0.465375,0.506383,0.943032
163,1.3805,1.37933,1.10964,3.74434,3.96036,0.420736,0.00230268,0.586749,0.93749,0.875634,0.465801,0.506784,0.948323
164,1.36877,1.35861,1.10445,3.70761,3.9212,0.418395,0.00227805,0.590009,0.937993,0.875627,0.466354,0.507282,0.94549
165,1.37259,1.36113,1.10938,3.71629,3.93345,0.416054,0.00225347,0.588998,0.938281,0.875922,0.46663,0.50756,0.956208
166,1.37946,1.35869,1.11334,3.72607,3.93999,0.413712,0.00222892,0.592189,0.938281,0.876558,0.466802,0.507777,0.957267
167,1.37072,1.36213,1.10604,3.71189,3.92765,0.411371,0.00220442,0.591865,0.938711,0.876754,0.466714,0.507718,0.948134
168,1.38596,1.36294,1.11901,3.74342,3.95407,0.40903,0.00217997,0.591142,0.938496,0.876606,0.466831,0.507809,0.967109
169,1.36864,1.35549,1.10846,3.71132,3.91572,0.406689,0.00215556,0.59044,0.938711,0.876759,0.466817,0.507811,0.947579
170,1.37413,1.35029,1.09435,3.69462,3.90304,0.404348,0.00213121,0.593317,0.93914,0.877004,0.467556,0.508501,0.947476
171,1.37179,1.36307,1.10257,3.7086,3.92402,0.402007,0.00210691,0.595003,0.938595,0.876839,0.467289,0.508244,0.961985
172,1.37464,1.36329,1.10868,3.71787,3.93234,0.399666,0.00208267,0.595401,0.93848,0.877242,0.467805,0.508748,0.960148
173,1.36377,1.36012,1.0935,3.69807,3.89606,0.397324,0.00205848,0.595193,0.938711,0.877656,0.467586,0.508593,0.95073
174,1.37348,1.35947,1.1042,3.71869,3.91449,0.394983,0.00203436,0.594815,0.93838,0.877627,0.467837,0.508816,0.940824
